40.757266, -73.989794;0,"", ""
40.757494, -73.989603;1,"", ""
40.757902, -73.989316;2,"", ""
40.758232, -73.989077;3,"", ""
40.758542, -73.988872;4,"", ""
40.758850, -73.988614;5,"", ""
40.759159, -73.988398;6,"", ""
40.759485, -73.988148;7,"", ""
40.759793, -73.987924;8,"", ""
40.760107, -73.987644;9,"", ""
40.760404, -73.987446;10,"", ""
40.760741, -73.987225;11,"", ""
40.761027, -73.987008;12,"", ""
40.761353, -73.986762;13,Hotel Garden Inn Times Square,https://www.hilton.com/en/hotels/nycmwgi-hilton-garden-inn-times-square/
40.761658, -73.986552;14,"", ""
40.761984, -73.986358;15,"", ""
40.762279, -73.986110;16,"", ""
40.762616, -73.985885;17,"", ""
40.762925, -73.985665;18,"", ""
40.763254, -73.985402;19,Hampton Inn Manhattan Times,https://www.hilton.com/en/hotels/nycffhx-hampton-manhattan-times-square-central/
40.763559, -73.985193;20,"", ""
40.763843, -73.984989;21,"", ""
40.764184, -73.984747;22,"", ""
40.764534, -73.984517;23,"", ""
40.764794, -73.984313;24,"", ""
40.765135, -73.984066;25,"", ""
40.765436, -73.983809;26,"", ""
40.765761, -73.983578;27,"", ""
40.766061, -73.983363;28,"", ""
40.766403, -73.983165;29,"", ""
40.766736, -73.982870;30,"", ""
40.766516, -73.982366;31,"", ""
40.765801, -73.982757;32,Symphony plaza,https://www.facebook.com/pages/Symphony-Plaza/288901491471250
40.765139, -73.983144;33,"", ""
40.764481, -73.983519;34,Studio 54,https://en.wikipedia.org/wiki/Studio_54
40.763835, -73.983895;35,"", ""
40.763148, -73.984313;36,Nei Simon Theatre,https://broadwaydirect.com/theatre/neil-simon-theatre/
40.762441, -73.984517;37,Times Square Church,https://tsc.nyc/
40.761864, -73.985091;38,Paramount Plaza,https://en.wikipedia.org/wiki/Paramount_Plaza
40.761190, -73.985461;39,"", ""
40.760531, -73.985820;40,Crowne Plaza Times Square Manhattan,https://www.ihg.com/crowneplaza/hotels/us/en/new-york/nycmh/hoteldetail
40.759971, -73.986410;41,Copacabana Times Square,https://www.copacabanany.com/
40.759284, -73.986732;42,"", ""
40.758573, -73.987022;43,Music Box Theatre,https://broadwaydirect.com/theatre/music-box-theatre/
40.757996, -73.987564;44,National Geographic Encounter,https://natgeoencounter.com/
40.757321, -73.987912;45,"", ""
40.756700, -73.988481;46,Madame Tussauds New York,https://www.madametussauds.com/new-york/en/
40.756033, -73.986952;47,"", ""
40.756358, -73.986700;48,"", ""
40.756724, -73.986464;49,"", ""
40.757037, -73.986239;50,Hard Rock Cafe,https://www.timessquarenyc.org/locations/hard-rock-cafe
40.757350, -73.986008;51,"", ""
40.757655, -73.985772;52,"", ""
40.757959, -73.985541;53,Times Square,https://www.timessquarenyc.org/
40.758293, -73.985284;54,"", ""
40.758589, -73.985107;55,"", ""
40.758861, -73.984849;56,Palace Theatre,https://broadwaydirect.com/theatre/palace-theatre/
40.759195, -73.984608;57,"", ""
40.759540, -73.984426;58,Hershey's Chocolate World,https://www.hersheys.com/chocolateworld/en_us/home.html
40.759837, -73.984179;59,"", ""
40.760141, -73.983975;60,M&M'S World,https://www.mms.com/en-us/mms-store-new-york
40.760490, -73.983712;61,"", ""
40.760846, -73.983446;62,Carolines on Broadway,https://www.carolines.com/
40.761095, -73.983267;63,"", ""
40.761435, -73.983035;64,"", ""
40.761732, -73.982773;65,The Michelangelo New York-Starhotels,https://www.michelangelohotel.com/
